id,text,optionA,optionB,optionC,answer,category,optionD,counter,explanation,rating,ratingChange
792,Psychologist Wolfgang K&#246;hler believed that the solution of a multiple-stick problem in chimpanzees revealed,how reinforcement strongly guided their behavior.,an ability for versatile and appropriate behavior to changing circumstances.,a capacity for insight.,C,PSY,the same problem solving abilities in chimps as in gorillas.,0,Lorem,490,0
793,&quot;Anti&quot; is an example of,a phoneme.,syntax.,surface structure.,D,PSY,a morpheme.,0,Lorem,495,0
794,Fertilization of an ovum outside a woman's body is called,artificial insemination.,in vitro fertilization.,eugenics.,B,PSY,genetic engineering.,0,Lorem,7,0
795,The first milk produced by a woman in the first few days after giving birth is called,formula.,enrichment.,colostrum.,C,PSY,amniocentesis.,0,Lorem,14,0
796,Studies of the Head Start Program indicate that,children improve their school performance and abilities.,early childhood educational programs are a waste of the taxpayers' money.,the gains are about the same as if the child was in a caring environment.,A,PSY,children improve their performance while they are in the program but lose it in elementary school.,0,Lorem,21,0
797,When a gene is __________  the trait it controls will be present every time the gene is present.,recessive,dominant,polygenic,B,PSY,sex-linked,0,Lorem,28,0
798,Which represents the correct order of Piaget's stages of intellectual development?,sensorimotor  concrete operational  formal operational  postoperational,preoperational  concrete operational  formal operational  sensorimotor,sensorimotor  preoperational  concrete operational  formal operational,C,PSY,preoperational  informal operational  formal operational  postoperational,0,Lorem,35,0
799,Compared to mothers  fathers spend more time,playing with the infant.,feeding and care giving their infants.,providing routine child care.,A,PSY,that does not involve visual contact with the infant.,0,Lorem,42,0
800,When parents around the world use a short  sharp rhythm  they are,warning their baby.,comforting their baby.,calling attention to objects.,A,PSY,praising their baby.,0,Lorem,49,0
801,The three basic emotions which appear to be unlearned but take time to develop are,affection  anger  fear.,excitement  jealousy  anger.,delight  jealousy  fear.,D,PSY,anger  fear  joy.,0,Lorem,56,0
802,Which of the following most clearly demonstrates the existence of emotional attachment?,separation anxiety,learning to walk,imprinting,A,PSY,language development,0,Lorem,63,0
803,The grasping  rooting  and sucking reflexes of infants are best described as,fixed action patterns.,instincts.,conditioned reflexes.,D,PSY,adaptive reflexes.,0,Lorem,70,0
804,According to Chomsky  humans have a __________ to develop language.,perceptual set,telegraphic readiness,learning set,D,PSY,biological predisposition,0,Lorem,77,0
805,During the formal operations stage  children begin to,accurately use concepts of time  space  and number.,think primarily about concrete objects or situations.,develop the concept of object permanency.,D,PSY,think in terms of abstract principles and hypothetical possibilities.,0,Lorem,84,0
806,__________ is an example of a congenital problem.,Williams Syndrome,Exposure to radiation,Down's Syndrome,B,PSY,Color blindness,0,Lorem,91,0
807,Harlow's studies of surrogate mothers show that,infant monkeys prefer the cloth surrogate only when it is the source of food.,the wire surrogate is preferred because of its association with food.,when frightened  infants run to the cloth surrogates for security and contact.,C,PSY,attachment to the wire &quot;feeding mothers&quot; is identical to that displayed toward real mothers.,0,Lorem,98,0
808,Harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of,imprinting or critical periods.,contact comfort.,acceptance.,B,PSY,good nutrition.,0,Lorem,105,0
809,Which reflex probably helps prevent falling?,Moro reflex,grasping reflex,rooting reflex,B,PSY,sucking reflex,0,Lorem,112,0
810,A child is largely nonverbal  is learning to coordinate purposeful movements with sense information  and is developing the concept of object permanence. The child is in Piaget's __________ stage.,sensorimotor,preoperational,concrete operational,A,PSY,formal operations,0,Lorem,119,0
811,Newborn children,have limited sense abilities at birth and cannot feel pain at all.,can follow a moving object with their eyes.,cannot learn and must depend on the adaptive reflexes in order to survive.,B,PSY,have extremely poor hearing.,0,Lorem,126,0
812,When we say a child's thinking is less abstract than an adult's  we mean that,children use more examples and generalizations.,children use more principles  but require fewer generalizations.,children use fewer generalizations  categories  and principles.,C,PSY,adults base their understanding of the world more on particular examples and tangible sensations.,0,Lorem,133,0
813,If touched on the cheek  neonates will turn their head in that direction. This is called the,Moro reflex.,rooting reflex.,orientation response.,B,PSY,Babinski response.,0,Lorem,140,0
814,Physical growth and development is called,readiness.,maturation.,mobility.,B,PSY,heredity.,0,Lorem,147,0
815,Object permanence is to sensorimotor stage as conservation and reversibility are to,formal operational stage.,preoperational stage.,informal operational stage.,D,PSY,concrete operational stage.,0,Lorem,154,0
816,The rapid and early learning of permanent behavior patterns during critical periods of development in birds and other animals is called,separation anxiety.,learned referencing.,imprinting.,C,PSY,social referencing.,0,Lorem,161,0
817,Substances capable of causing birth defects are known as,carcinogens.,teratogens.,chorionic villi.,B,PSY,antigens.,0,Lorem,168,0
818,A child and her father are walking. The child knows there are such things as birds but has never seen a bluebird before. Upon seeing one  she says  &quot;See the birdie &quot; and her father replies  &quot;Yes  that's a bluebird.&quot; This example demonstrates,assimilation.,accommodation.,conservation.,A,PSY,object permanence.,0,Lorem,175,0
819,Piaget is mainly known for studying,language development.,sexual development.,social development.,D,PSY,cognitive development.,0,Lorem,182,0
820,Which combination could not produce a blue-eyed child?,brown-eyed father  blue-eyed mother,blue-eyed father  brown-eyed mother,both parents have green eyes,D,PSY,Each of the above could produce a blue-eyed child.,0,Lorem,189,0
821,When her mother leaves  Linda cries. When her mother returns  Linda crawls into her lap. According to Mary Ainsworth  Linda has a(n) __________ attachment.,securely attached,secure-avoidant,insecure-avoidant,A,PSY,insecure-ambivalent,0,Lorem,196,0
822,A child who thinks it gets dark so that she can sleep is demonstrating,object permanence.,imprinting.,deprivation dwarfism.,D,PSY,egocentrism.,0,Lorem,203,0
823,Authoritarian parents,demand strict adherence to rigid standards of behavior.,require little in the way of responsible behavior from their children.,encourage their children to act responsibly.,A,PSY,do not enforce rules.,0,Lorem,210,0
824,Cephalocaudal means,from the center of the body to the extremities.,from the past to the future.,from the head to the toes.,C,PSY,from birth to death.,0,Lorem,217,0
825,You offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is &quot;bigger.&quot; The child is,in the preoperational stage.,in the neonatal stage of the growth sequence.,obviously past the &quot;age of reason.&quot;,A,PSY,displaying egocentric thought.,0,Lorem,224,0
826,It is important for a mother to breast feed her baby  as it,ensures proper brain development.,appears to aid in attachment.,is the only way to gain enough nutrition to survive.,B,PSY,is fundamental to the development of a healthy personality.,0,Lorem,231,0
827,Most human characteristics are the result of many genes working in combination. This is referred to as,recessive.,dominant.,chromosomal.,D,PSY,polygenic.,0,Lorem,238,0
828,Each cell possesses 46 __________ that are responsible for all the genetic information passed from parents to children.,genes,chromosomes,zygotes,B,PSY,gametes,0,Lorem,245,0
829,A child and her father are walking. The child knows there are such things as birds. Upon seeing a butterfly  she says  &quot;See the birdie &quot; and her father replies  &quot;No  that's a butterfly; see how small it is.&quot; This example demonstrates,assimilation.,accommodation.,conservation.,B,PSY,object permanence.,0,Lorem,252,0
830,If an infant is startled by a loud sound  it makes movements similar to an embrace. This is called a __________ reflex.,grasping,rooting,Babinski,D,PSY,Moro,0,Lorem,259,0
831,&quot;I demand that you obey&quot; is to authoritarian as &quot;Do your own thing&quot; is to,authoritative.,permissive.,permissionable.,B,PSY,overprotective.,0,Lorem,266,0
832,Babies will imitate actions they see when mothers show joy or interest because of,situational referencing.,learned referencing.,perceptual referencing.,D,PSY,social referencing.,0,Lorem,273,0
833,A child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers  this demonstrates,social learning.,classical conditioning.,assimilation.,C,PSY,accommodation.,0,Lorem,280,0
834,The repetition by infants of meaningless language sounds (including both vowel and consonant sounds) is called,babbling.,cooing.,telegraphic speech.,A,PSY,crying.,0,Lorem,287,0
835,Vygotsky's sociocultural theory suggests that a child's most important discoveries are guided by,other children.,adults acting as tutors.,neither other children nor adults acting as tutors.,B,PSY,both other children and adults acting as tutors.,0,Lorem,294,0
836,Which of the following is one of the four basic ingredients of positive parent-child interactions?,discipline,forced teaching and learning,flooding the infant with stimuli,D,PSY,mutual respect,0,Lorem,301,0
837,Proximodistal means,from the center of the body to the extremities.,from the past to the future.,from the head to the toes.,A,PSY,from birth to death.,0,Lorem,308,0
838,According to __________  all children pass through a series of distinct stages in their intellectual development.,Piaget,Bloom,Watson,A,PSY,Harlow,0,Lorem,315,0
839,You are playing with a neighbor's son  Sam. He is taking a stick and waving it through the air  making airplane noises. You then take the stick and push it along the ground  making car noises. Sam angrily takes back the stick and says  &quot;No  it's a plane!&quot; Sam appears to be in Piaget's,preoperational stage.,concrete operational stage.,period of formal operations.,A,PSY,sensorimotor stage.,0,Lorem,322,0
840,Which of the following is characteristic of good parenting?,&quot;hothousing&quot;,forced teaching,flooding the infant with stimuli,D,PSY,consistency,0,Lorem,329,0
841,Which pattern of development would surprise you MOST?,A child stands holding furniture before he or she crawls.,A child walks if led before he or she stands alone.,A child sits alone before he or she stands holding furniture.,B,PSY,A child sits when supported before he or she holds his or her chest up.,0,Lorem,336,0
842,Babies who don't hear normal speech during their first year may have impaired language abilities because of,the human genome sequence.,the language sensitive period.,the period of motor primacy.,B,PSY,genetic abnormalities.,0,Lorem,343,0
843,Environmental factors that shape development include all of the following except,quality of learning.,intelligence.,quality of nutrition.,B,PSY,culture.,0,Lorem,350,0
844,You leave your child with a babysitter. When you return  your child ignores you. Your child's behavior indicates a(n) __________ attachment.,securely attached,secure-avoidant,insecure-avoidant,C,PSY,insecure-ambivalent,0,Lorem,357,0
845,Competent children who are characterized by autonomy  self-control  and curiosity are often a consequence of the parenting style described as,authoritarian.,authoritative.,permissive.,B,PSY,submissive.,0,Lorem,364,0
846,According to Noam Chomsky  day-old infants dance to speech due to,the primacy effect.,mother-infant attachment.,social learning.,D,PSY,innate factors.,0,Lorem,371,0
847,A child knows that when you take yellow paint and then mix in blue paint  you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint  she doesn't know. Her thinking lacks,clarity.,freedom from egocentricity.,conservation.,D,PSY,reversibility.,0,Lorem,378,0
848,Which of the following reflexes are related to feeding?,The Moro and rooting reflexes.,The rooting and sucking reflexes.,The Moro and sucking reflexes.,B,PSY,The Babinski and orienting reflexes.,0,Lorem,385,0
849,A two-year-old says  &quot;Water go &quot; to which the parent responds  &quot;Yes  the water goes down the drain.&quot; The parent is using the strategy of,extension.,expansion.,prompting.,B,PSY,parentese.,0,Lorem,392,0
850,Developmental psychology is the study of,the language  personality  and emotions of children and adolescents.,the stages of life and the important tasks of each.,progressive changes in behavior and abilities from conception to death.,C,PSY,the role of maturation in the unfolding of human potential.,0,Lorem,399,0
851,Studies of visual perception indicate that,newborn babies prefer simple patterns over complex ones.,babies make little use of the visual sense before age 6 months.,infants prefer faces to colored ovals.,C,PSY,infants prefer unfamiliar faces to familiar faces.,0,Lorem,406,0
852,Sperm from an anonymous donor are used to impregnate the woman in a technique called,in vitro fertilization.,artificial insemination.,eugenics.,B,PSY,anonymous insemination.,0,Lorem,413,0
853,The study of changes in behavior from conception to death encompasses,gerontology.,thanatology.,developmental psychology.,C,PSY,social psychology.,0,Lorem,420,0
854,The part of a chromosome that contains &quot;instructions&quot; that affect a particular process or personal characteristic is called a(n),RNA.,gene.,soma.,B,PSY,protein.,0,Lorem,427,0
855,When a gene is __________  it must be paired with a second gene of the same type before its effect will be expressed.,recessive,dominant,polygenic,A,PSY,sex-linked,0,Lorem,434,0
856,Using existing patterns of behavior in new situations is called,assimilation.,adaptation.,accommodation.,A,PSY,conservation.,0,Lorem,441,0
857,Another name for a newborn baby is a(n),embryo.,neonate.,zygote.,B,PSY,fetus.,0,Lorem,448,0
858,Telegraphic speech refers to,the single-word stage of language learning.,the continuous outpouring of repeated language sounds.,words that communicate only part of an idea.,D,PSY,simple two-word sentences characteristic of early speech.,0,Lorem,455,0
859,Fetal alcohol syndrome is characterized by,miscarriage  premature birth  and bodily defects.,increased birth weight.,genetic defects.,A,PSY,addiction to alcohol in the newborn.,0,Lorem,462,0
860,You are daydreaming in the middle of a lecture. Are you actually thinking?,Yes.,No.,No  but daydreaming is an example of cognition.,D,PSY,Yes  you are thinking and daydreaming is an example of cognition.,0,Lorem,469,0
861,Computer programs capable of doing things that require intelligence when done by people are associated with,artificial intelligence.,proxemics.,cerebronics.,A,PSY,computerized creativity.,0,Lorem,476,0
862,__________ is the study of the meaning of words and language.,Linguistics,Encoding,Semantics,C,PSY,Syntax,0,Lorem,483,0
863,Representations used in thinking include,mnemonic devices.,kinesthesis.,concepts.,C,PSY,primarily figments of the imagination.,0,Lorem,490,0
864,Basic speech sounds are called,morphemes.,syllables.,phonemes.,C,PSY,syntax.,0,Lorem,497,0
865,A solution that correctly states the requirements for success in solving a problem but not in sufficient detail for further action is called a(n) __________ solution.,heuristic,general,functional,B,PSY,specific,0,Lorem,504,0
866,Fluency  flexibility  and originality would be most characteristic of which type of thought?,convergent thinking,mechanical problem-solving,rote problem-solving,D,PSY,brainstorming,0,Lorem,511,0
867,What type of concept is &quot;uncle&quot;?,conjunctive,relational,relative,B,PSY,disjunctive,0,Lorem,518,0
868,The inability to see new uses for familiar objects is termed,non-flexible thinking.,functional fixedness.,proactive inhibition.,B,PSY,interference.,0,Lorem,525,0
869,A person who is concerned about health  but who continues to smoke cigarettes  is making an error in judgment called,functional fixedness.,ignoring the base rate.,representativeness.,B,PSY,framing.,0,Lorem,532,0
870,Language is termed productive if it,allows for communication of thoughts and ideas.,is capable of generating new ideas and possibilities.,increases one's adaptation to a changing environment.,B,PSY,provides a set of rules for making sounds into words and words into sentences.,0,Lorem,539,0
871,Which of the following is usually associated with creativity?,convergent thinking,divergent thinking,modeling,B,PSY,syntax,0,Lorem,546,0
872,A truck gets stuck under a bridge. Several tow-trucks are unable to pull it out. At last a little boy walks up and asks the red-faced adults trying to free the truck why they haven't let the air out of the truck's tires. Their oversight was due to,divergent thinking.,cognitive style.,synesthesia.,D,PSY,fixation.,0,Lorem,553,0
873,Heuristics are problem solving strategies which,use a trial and error approach.,use random search strategies.,guarantee success in solving a problem.,D,PSY,reduce the number of alternatives.,0,Lorem,560,0
874,Characterisitics of creativity include,convergence.,flexibility.,gender differences.,B,PSY,rigid personality factors.,0,Lorem,567,0
875,A perceptual set that causes one to become hung up on wrong solutions or remain blind to alternatives is called,inhibition.,fixation.,conditional thinking.,B,PSY,incubation.,0,Lorem,574,0
876,If 98 out of 100 people respond &quot;Golden Retriever&quot; when asked to name what dog best represents the concept &quot;dog &quot; then a golden retriever would be called a,denotative concept.,prototype.,relational concept.,B,PSY,feature.,0,Lorem,581,0
877,The rules for ordering words in sentences are called,grammar.,syntax.,semantic differential.,B,PSY,heuristics.,0,Lorem,588,0
878,The solution to arithmetic problems requires,mechanical solutions.,convergent thinking.,insight.,B,PSY,brainstorming.,0,Lorem,595,0
879,A person would have the LEAST difficulty in classifying __________ as a tree or shrub.,a cactus,a fern,an oak,C,PSY,a palm,0,Lorem,602,0
880,A student who takes a multiple-choice test by reading the stem of each item  generating the correct response before looking at the choices  and then choosing the response closest to the answer is using,a heuristic.,an &quot;ideal&quot; solution.,vicarious problem solving.,A,PSY,an algorithmic search strategy.,0,Lorem,609,0
881,In baseball  an &quot;out&quot; is a,conjunctive concept.,relational concept.,disjunctive concept.,C,PSY,prototype.,0,Lorem,616,0
882,The stage of creative thought during which problem solving proceeds at a subconscious level is the __________ stage.,incubation,orientation,preparation,A,PSY,illumination,0,Lorem,623,0
883,A person is asked to decide on a major in school; another is asked to decide on a career. We may say that the different answers they give to broad and specific questions are because of,differences in representativeness.,base rate differences.,differences in framing.,C,PSY,differences associated with irrational personalities.,0,Lorem,630,0
884,The correlation between IQ and creativity is,very high.,very low.,zero.,B,PSY,more positively correlated the higher the IQ.,0,Lorem,637,0
885,Oversimplified concepts of groups of people are referred to as,group thinking.,social stereotypes.,relational stereotypes.,B,PSY,disjunctive stereotypes.,0,Lorem,644,0
886,Thought that is intuitive  haphazard  or personal is termed,inductive thought.,deductive thought.,logical thought.,D,PSY,illogical thought.,0,Lorem,651,0
887,__________ are the smallest meaningful units of speech.,Morphemes,Phonemes,Pheromones,A,PSY,Concepts,0,Lorem,658,0
888,The ability to speak two languages is referred to as,bi-languagism.,fluency.,bilingualism.,C,PSY,none of these.,0,Lorem,665,0
889,The two most basic units of speech are,words and rules of grammar.,ideas and concepts.,morphemes and phonemes.,C,PSY,connotative and denotative meaning.,0,Lorem,672,0
890,Words or ideas representing a class of objects are called,abstractions.,attributes.,thoughts.,D,PSY,concepts.,0,Lorem,679,0
891,Psychologist Wolfgang K&#246;hler believed that the solution of a multiple-stick problem in chimpanzees revealed,how reinforcement strongly guided their behavior.,an ability for versatile and appropriate behavior to changing circumstances.,a capacity for insight.,C,PSY,the same problem solving abilities in chimps as in gorillas.,0,Lorem,686,0
892,&quot;Anti&quot; is an example of,a phoneme.,syntax.,surface structure.,D,PSY,a morpheme.,0,Lorem,693,0
893,Fertilization of an ovum outside a woman's body is called,artificial insemination.,in vitro fertilization.,eugenics.,B,PSY,genetic engineering.,0,Lorem,17,0
894,The first milk produced by a woman in the first few days after giving birth is called,formula.,enrichment.,colostrum.,C,PSY,amniocentesis.,0,Lorem,34,0
895,Studies of the Head Start Program indicate that,children improve their school performance and abilities.,early childhood educational programs are a waste of the taxpayers' money.,the gains are about the same as if the child was in a caring environment.,A,PSY,children improve their performance while they are in the program but lose it in elementary school.,0,Lorem,51,0
896,When a gene is __________  the trait it controls will be present every time the gene is present.,recessive,dominant,polygenic,B,PSY,sex-linked,0,Lorem,68,0
897,Which represents the correct order of Piaget's stages of intellectual development?,sensorimotor  concrete operational  formal operational  postoperational,preoperational  concrete operational  formal operational  sensorimotor,sensorimotor  preoperational  concrete operational  formal operational,C,PSY,preoperational  informal operational  formal operational  postoperational,0,Lorem,85,0
898,Compared to mothers  fathers spend more time,playing with the infant.,feeding and care giving their infants.,providing routine child care.,A,PSY,that does not involve visual contact with the infant.,0,Lorem,102,0
899,When parents around the world use a short  sharp rhythm  they are,warning their baby.,comforting their baby.,calling attention to objects.,A,PSY,praising their baby.,0,Lorem,119,0
900,The three basic emotions which appear to be unlearned but take time to develop are,affection  anger  fear.,excitement  jealousy  anger.,delight  jealousy  fear.,D,PSY,anger  fear  joy.,0,Lorem,136,0
901,Which of the following most clearly demonstrates the existence of emotional attachment?,separation anxiety,learning to walk,imprinting,A,PSY,language development,0,Lorem,153,0
902,The grasping  rooting  and sucking reflexes of infants are best described as,fixed action patterns.,instincts.,conditioned reflexes.,D,PSY,adaptive reflexes.,0,Lorem,170,0
903,According to Chomsky  humans have a __________ to develop language.,perceptual set,telegraphic readiness,learning set,D,PSY,biological predisposition,0,Lorem,187,0
904,During the formal operations stage  children begin to,accurately use concepts of time  space  and number.,think primarily about concrete objects or situations.,develop the concept of object permanency.,D,PSY,think in terms of abstract principles and hypothetical possibilities.,0,Lorem,204,0
905,__________ is an example of a congenital problem.,Williams Syndrome,Exposure to radiation,Down's Syndrome,B,PSY,Color blindness,0,Lorem,221,0
906,Harlow's studies of surrogate mothers show that,infant monkeys prefer the cloth surrogate only when it is the source of food.,the wire surrogate is preferred because of its association with food.,when frightened  infants run to the cloth surrogates for security and contact.,C,PSY,attachment to the wire &quot;feeding mothers&quot; is identical to that displayed toward real mothers.,0,Lorem,238,0
907,Harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of,imprinting or critical periods.,contact comfort.,acceptance.,B,PSY,good nutrition.,0,Lorem,255,0
908,Which reflex probably helps prevent falling?,Moro reflex,grasping reflex,rooting reflex,B,PSY,sucking reflex,0,Lorem,272,0
909,A child is largely nonverbal  is learning to coordinate purposeful movements with sense information  and is developing the concept of object permanence. The child is in Piaget's __________ stage.,sensorimotor,preoperational,concrete operational,A,PSY,formal operations,0,Lorem,289,0
910,Newborn children,have limited sense abilities at birth and cannot feel pain at all.,can follow a moving object with their eyes.,cannot learn and must depend on the adaptive reflexes in order to survive.,B,PSY,have extremely poor hearing.,0,Lorem,306,0
911,When we say a child's thinking is less abstract than an adult's  we mean that,children use more examples and generalizations.,children use more principles  but require fewer generalizations.,children use fewer generalizations  categories  and principles.,C,PSY,adults base their understanding of the world more on particular examples and tangible sensations.,0,Lorem,323,0
912,If touched on the cheek  neonates will turn their head in that direction. This is called the,Moro reflex.,rooting reflex.,orientation response.,B,PSY,Babinski response.,0,Lorem,340,0
913,Physical growth and development is called,readiness.,maturation.,mobility.,B,PSY,heredity.,0,Lorem,357,0
914,Object permanence is to sensorimotor stage as conservation and reversibility are to,formal operational stage.,preoperational stage.,informal operational stage.,D,PSY,concrete operational stage.,0,Lorem,374,0
915,The rapid and early learning of permanent behavior patterns during critical periods of development in birds and other animals is called,separation anxiety.,learned referencing.,imprinting.,C,PSY,social referencing.,0,Lorem,391,0
916,Substances capable of causing birth defects are known as,carcinogens.,teratogens.,chorionic villi.,B,PSY,antigens.,0,Lorem,408,0
917,A child and her father are walking. The child knows there are such things as birds but has never seen a bluebird before. Upon seeing one  she says  &quot;See the birdie &quot; and her father replies  &quot;Yes  that's a bluebird.&quot; This example demonstrates,assimilation.,accommodation.,conservation.,A,PSY,object permanence.,0,Lorem,425,0
918,Piaget is mainly known for studying,language development.,sexual development.,social development.,D,PSY,cognitive development.,0,Lorem,442,0
919,Which combination could not produce a blue-eyed child?,brown-eyed father  blue-eyed mother,blue-eyed father  brown-eyed mother,both parents have green eyes,D,PSY,Each of the above could produce a blue-eyed child.,0,Lorem,459,0
920,When her mother leaves  Linda cries. When her mother returns  Linda crawls into her lap. According to Mary Ainsworth  Linda has a(n) __________ attachment.,securely attached,secure-avoidant,insecure-avoidant,A,PSY,insecure-ambivalent,0,Lorem,476,0
921,A child who thinks it gets dark so that she can sleep is demonstrating,object permanence.,imprinting.,deprivation dwarfism.,D,PSY,egocentrism.,0,Lorem,493,0
922,Authoritarian parents,demand strict adherence to rigid standards of behavior.,require little in the way of responsible behavior from their children.,encourage their children to act responsibly.,A,PSY,do not enforce rules.,0,Lorem,510,0
923,Cephalocaudal means,from the center of the body to the extremities.,from the past to the future.,from the head to the toes.,C,PSY,from birth to death.,0,Lorem,527,0
924,You offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is &quot;bigger.&quot; The child is,in the preoperational stage.,in the neonatal stage of the growth sequence.,obviously past the &quot;age of reason.&quot;,A,PSY,displaying egocentric thought.,0,Lorem,544,0
925,It is important for a mother to breast feed her baby  as it,ensures proper brain development.,appears to aid in attachment.,is the only way to gain enough nutrition to survive.,B,PSY,is fundamental to the development of a healthy personality.,0,Lorem,561,0
926,Most human characteristics are the result of many genes working in combination. This is referred to as,recessive.,dominant.,chromosomal.,D,PSY,polygenic.,0,Lorem,578,0
927,Each cell possesses 46 __________ that are responsible for all the genetic information passed from parents to children.,genes,chromosomes,zygotes,B,PSY,gametes,0,Lorem,595,0
928,A child and her father are walking. The child knows there are such things as birds. Upon seeing a butterfly  she says  &quot;See the birdie &quot; and her father replies  &quot;No  that's a butterfly; see how small it is.&quot; This example demonstrates,assimilation.,accommodation.,conservation.,B,PSY,object permanence.,0,Lorem,612,0
929,If an infant is startled by a loud sound  it makes movements similar to an embrace. This is called a __________ reflex.,grasping,rooting,Babinski,D,PSY,Moro,0,Lorem,629,0
930,&quot;I demand that you obey&quot; is to authoritarian as &quot;Do your own thing&quot; is to,authoritative.,permissive.,permissionable.,B,PSY,overprotective.,0,Lorem,646,0
931,Babies will imitate actions they see when mothers show joy or interest because of,situational referencing.,learned referencing.,perceptual referencing.,D,PSY,social referencing.,0,Lorem,663,0
932,A child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers  this demonstrates,social learning.,classical conditioning.,assimilation.,C,PSY,accommodation.,0,Lorem,680,0
933,The repetition by infants of meaningless language sounds (including both vowel and consonant sounds) is called,babbling.,cooing.,telegraphic speech.,A,PSY,crying.,0,Lorem,697,0
934,Vygotsky's sociocultural theory suggests that a child's most important discoveries are guided by,other children.,adults acting as tutors.,neither other children nor adults acting as tutors.,B,PSY,both other children and adults acting as tutors.,0,Lorem,714,0
935,Which of the following is one of the four basic ingredients of positive parent-child interactions?,discipline,forced teaching and learning,flooding the infant with stimuli,D,PSY,mutual respect,0,Lorem,731,0
936,Proximodistal means,from the center of the body to the extremities.,from the past to the future.,from the head to the toes.,A,PSY,from birth to death.,0,Lorem,748,0
937,According to __________  all children pass through a series of distinct stages in their intellectual development.,Piaget,Bloom,Watson,A,PSY,Harlow,0,Lorem,765,0
938,You are playing with a neighbor's son  Sam. He is taking a stick and waving it through the air  making airplane noises. You then take the stick and push it along the ground  making car noises. Sam angrily takes back the stick and says  &quot;No  it's a plane!&quot; Sam appears to be in Piaget's,preoperational stage.,concrete operational stage.,period of formal operations.,A,PSY,sensorimotor stage.,0,Lorem,782,0
939,Which of the following is characteristic of good parenting?,&quot;hothousing&quot;,forced teaching,flooding the infant with stimuli,D,PSY,consistency,0,Lorem,799,0
940,Which pattern of development would surprise you MOST?,A child stands holding furniture before he or she crawls.,A child walks if led before he or she stands alone.,A child sits alone before he or she stands holding furniture.,B,PSY,A child sits when supported before he or she holds his or her chest up.,0,Lorem,816,0
941,Babies who don't hear normal speech during their first year may have impaired language abilities because of,the human genome sequence.,the language sensitive period.,the period of motor primacy.,B,PSY,genetic abnormalities.,0,Lorem,833,0
942,Environmental factors that shape development include all of the following except,quality of learning.,intelligence.,quality of nutrition.,B,PSY,culture.,0,Lorem,850,0
943,You leave your child with a babysitter. When you return  your child ignores you. Your child's behavior indicates a(n) __________ attachment.,securely attached,secure-avoidant,insecure-avoidant,C,PSY,insecure-ambivalent,0,Lorem,867,0
944,Competent children who are characterized by autonomy  self-control  and curiosity are often a consequence of the parenting style described as,authoritarian.,authoritative.,permissive.,B,PSY,submissive.,0,Lorem,884,0
945,According to Noam Chomsky  day-old infants dance to speech due to,the primacy effect.,mother-infant attachment.,social learning.,D,PSY,innate factors.,0,Lorem,901,0
946,A child knows that when you take yellow paint and then mix in blue paint  you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint  she doesn't know. Her thinking lacks,clarity.,freedom from egocentricity.,conservation.,D,PSY,reversibility.,0,Lorem,918,0
947,Which of the following reflexes are related to feeding?,The Moro and rooting reflexes.,The rooting and sucking reflexes.,The Moro and sucking reflexes.,B,PSY,The Babinski and orienting reflexes.,0,Lorem,935,0
948,A two-year-old says  &quot;Water go &quot; to which the parent responds  &quot;Yes  the water goes down the drain.&quot; The parent is using the strategy of,extension.,expansion.,prompting.,B,PSY,parentese.,0,Lorem,952,0
949,Developmental psychology is the study of,the language  personality  and emotions of children and adolescents.,the stages of life and the important tasks of each.,progressive changes in behavior and abilities from conception to death.,C,PSY,the role of maturation in the unfolding of human potential.,0,Lorem,969,0
950,Studies of visual perception indicate that,newborn babies prefer simple patterns over complex ones.,babies make little use of the visual sense before age 6 months.,infants prefer faces to colored ovals.,C,PSY,infants prefer unfamiliar faces to familiar faces.,0,Lorem,986,0
951,Sperm from an anonymous donor are used to impregnate the woman in a technique called,in vitro fertilization.,artificial insemination.,eugenics.,B,PSY,anonymous insemination.,0,Lorem,1003,0
952,The study of changes in behavior from conception to death encompasses,gerontology.,thanatology.,developmental psychology.,C,PSY,social psychology.,0,Lorem,1020,0
953,The part of a chromosome that contains &quot;instructions&quot; that affect a particular process or personal characteristic is called a(n),RNA.,gene.,soma.,B,PSY,protein.,0,Lorem,1037,0
954,When a gene is __________  it must be paired with a second gene of the same type before its effect will be expressed.,recessive,dominant,polygenic,A,PSY,sex-linked,0,Lorem,1054,0
955,Using existing patterns of behavior in new situations is called,assimilation.,adaptation.,accommodation.,A,PSY,conservation.,0,Lorem,1071,0
956,Another name for a newborn baby is a(n),embryo.,neonate.,zygote.,B,PSY,fetus.,0,Lorem,1088,0
957,Telegraphic speech refers to,the single-word stage of language learning.,the continuous outpouring of repeated language sounds.,words that communicate only part of an idea.,D,PSY,simple two-word sentences characteristic of early speech.,0,Lorem,1105,0
